연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월
107,4,422,동대문역사문화공원(4),298791,295823,370269,358325,354195,364396,329841,311086,313300,350349,380293
108,4,423,충무로(4),551097,538914,687843,683723,646508,683696,612403,577383,582297,649289,724413
109,4,424,명동,361881,383484,471157,481489,465271,504297,416778,401238,425372,486344,543480
110,4,425,회현,495736,498753,662746,654985,637025,664349,576681,529249,552130,636266,670477
111,4,426,서울역(4),307046,323251,395768,400021,400450,416809,347501,332098,336836,403795,475768
112,4,427,숙대입구,261837,266261,346339,337105,326069,336433,292738,279944,286410,317932,354406
113,4,428,삼각지(4),108640,109913,144696,145635,142790,150771,130644,126177,129535,150678,161749
114,4,429,신용산,334371,341193,430031,420813,415902,445800,388370,371759,371029,415668,478291
115,4,430,이촌,166207,177536,221391,224140,226842,232362,201054,196331,197951,214749,226817
116,4,431,동작,74742,74880,96992,100010,95972,97121,76502,69822,73693,73313,69871
117,4,432,이수(총신대입구),458527,459228,565861,553747,543668,555441,501822,483503,492841,557333,562697
118,4,433,사당(4),447509,455199,575145,564752,562795,567352,489276,470490,485554,563138,619334
119,4,434,남태령,23292,23235,31172,30629,29387,30200,25684,24190,26194,28504,31338
120,5,2511,방화,145253,142012,178296,175866,171187,176252,163072,156625,157141,170895,177610
121,5,2512,개화산,112269,112804,140289,141591,137545,141785,129837,125951,126763,139341,145023
122,5,2513,김포공항(5),156453,178734,202735,205527,209927,207038,198570,183568,177032,206008,207355
123,5,2514,송정,140715,141552,177492,176194,173200,170790,156003,151349,153747,168558,173835
124,5,2515,마곡,196634,193652,254676,257007,251843,263176,241739,227377,224554,247290,274306
125,5,2516,발산,405318,415515,539458,534058,524244,542129,477824,458488,465104,521416,573518
126,5,2517,우장산,302424,304059,383172,380695,367409,377349,336854,327411,333022,363550,386579
127,5,2518,화곡,592930,584499,723371,713904,692538,709536,648786,621782,621937,679358,714530
128,5,2519,까치산(5),637324,625179,767839,762007,739747,749300,694816,668532,670225,726377,752136
129,5,2520,신정,252032,245754,305703,302311,292888,300607,275536,263581,263436,286634,303503
130,5,2521,목동,406899,399074,495284,487669,469964,487621,438678,419588,416884,451955,481114
131,5,2522,오목교,525532,535956,654186,638831,623201,636126,575780,545731,537198,593446,634814
132,5,2523,양평(5),165481,158797,196625,192427,182169,192487,172781,163771,159724,173970,191425
133,5,2524,영등포구청(5),93280,90467,113701,111903,104562,109715,100052,93124,92693,99904,109515
134,5,2525,영등포시장,217909,217693,272850,269487,258240,265670,237724,228304,227250,255147,281743
135,5,2526,신길(5),99853,97415,120682,118337,110687,115609,104729,99992,98201,109147,117851
136,5,2527,여의도(5),562310,578323,780678,752007,686380,748054,618761,588793,581185,645359,759682
137,5,2528,여의나루,164837,233444,421863,429432,415799,372293,248127,250892,316124,342718,318029
138,5,2529,마포,311645,307482,382478,379929,357262,374466,331163,314114,309757,342351,386320
139,5,2530,공덕(5),315986,316307,404823,396951,363430,388318,337187,315380,313117,346185,393145
140,5,2531,애오개,149211,144824,182208,180539,170884,180577,161130,151178,148466,161602,178261
141,5,2532,충정로(5),101066,97738,128634,126282,117623,126676,112175,102850,102185,110557,125382
142,5,2533,서대문,389308,382773,479078,473937,440289,481562,425557,398587,393958,432383,498756
143,5,2534,광화문,631209,642993,804799,779188,745112,793029,700503,653506,641873,712529,841607
144,5,2535,종로3가(5),227886,264661,334665,329996,343436,341076,285718,281347,291748,342937,363814
145,5,2536,을지로4가(5),123596,125461,161316,157727,151218,162001,144020,131727,133028,149098,162097
146,5,2537,동대문역사문화공원(5),70082,67086,83594,81785,76100,83918,74503,70620,68925,75399,86353
147,5,2538,청구(5),82093,79927,100638,97667,92524,97460,88538,85558,86979,93742,98208
148,5,2539,신금호,142591,138269,174788,174105,167372,176253,156985,150708,155805,171343,179800
149,5,2540,행당,165829,160681,199616,197544,190493,198933,176635,171916,170991,186346,197076
150,5,2541,왕십리(5),111502,113781,139315,137071,135870,138354,126585,122252,122346,136023,147179
151,5,2542,마장,121379,118841,142283,140724,137355,139259,123883,120099,127772,134344,145910
152,5,2543,답십리,345664,332501,412440,405935,389333,401741,369379,351565,348691,380548,405839
153,5,2544,장한평,409886,392922,490914,483419,462992,486174,449564,426555,421273,461892,498921
